Movie,Director,Actors
Dunkirk,Christopher Nolan ," Fionn Whitehead, Damien Bonnard"
Girls Trip,Malcolm D. Lee ," Regina Hall, Queen Latifah"
Spider-Man: Homecoming,Jon Watts ," Tom Holland, Michael Keaton"
War for the Planet of the Apes,Matt Reeves ," Andy Serkis, Woody Harrelson"
Valerian and the City of a Thousand Planets,Luc Besson ," Dane DeHaan, Cara Delevingne"
Despicable Me 3,Kyle Balda ," Steve Carell, Kristen Wiig"
Baby Driver,Edgar Wright ," Ansel Elgort, Jon Bernthal"
The Big Sick,Michael Showalter ," Kumail Nanjiani, Zoe Kazan"
Wonder Woman,Patty Jenkins ," Gal Gadot, Chris Pine"
Wish Upon,John R. Leonetti ," Joey King, Ryan Phillippe"
